회차별 추첨결과,,,,,,,,
,,1,2,3,4,5,6,보너스
2023,1060,3,10,24,33,38,45,36
,1059,7,10,22,25,34,40,27
,1058,11,23,25,30,32,40,42
,1057,8,13,19,27,40,45,12
,1056,13,20,24,32,36,45,29
,1055,4,7,12,14,22,33,31
,1054,14,19,27,28,30,45,33
,1053,22,26,29,30,34,45,15
,1052,5,17,26,27,35,38,1
,1051,21,26,30,32,33,35,44
,1050,6,12,31,35,38,43,17
,1049,3,5,13,20,21,37,17
2022,1048,6,12,17,21,32,39,30
,1047,2,20,33,40,42,44,32
,1046,7,16,25,29,35,36,28
,1045,6,14,15,19,21,41,37
,1044,12,17,20,26,28,36,4
,1043,3,5,12,22,26,31,19
,1042,5,14,15,23,34,43,4
,1041,6,7,9,11,17,18,45
,1040,8,16,26,29,31,36,11
,1039,2,3,6,19,36,39,26
,1038,7,16,24,27,37,44,2
,1037,2,14,15,22,27,33,31
,1036,2,5,22,32,34,45,39
,1035,9,14,34,35,41,42,2
,1034,26,31,32,33,38,40,11
,1033,3,11,15,20,35,44,10
,1032,1,6,12,19,36,42,28
,1031,6,7,22,32,35,36,19
,1030,2,5,11,17,24,29,9
,1029,12,30,32,37,39,41,24
,1028,5,7,12,13,18,35,23
,1027,14,16,27,35,39,45,5
,1026,5,12,13,31,32,41,34
,1025,8,9,20,25,29,33,7
,1024,9,18,20,22,38,44,10
,1023,10,14,16,18,29,35,25
,1022,5,6,11,29,42,45,28
,1021,12,15,17,24,29,45,16
,1020,12,27,29,38,41,45,6
,1019,1,4,13,17,34,39,6
,1018,3,19,21,25,37,45,35
,1017,12,18,22,23,30,34,32
,1016,15,26,28,34,41,42,44
,1015,14,23,31,33,37,40,44
,1014,3,11,14,18,26,27,21
,1013,21,22,26,34,36,41,32
,1012,5,11,18,20,35,45,3
,1011,1,9,12,26,35,38,42
,1010,9,12,15,25,34,36,3
,1009,15,23,29,34,40,44,20
,1008,9,11,30,31,41,44,33
,1007,8,11,16,19,21,25,40
